"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14000","02_zapusk","","","passed","","","Test Suite","02_zapusk",""
"","106000","03_autorization","","","passed","","","Test Suite","03_autorization",""
